subject,frequency
gnd:4626625-2,1
gnd:4133456-5,1
gnd:4472943-1,1
gnd:4128704-6,2
gnd:4716345-8,7
gnd:4147574-4,2
gnd:7623854-4,1
gnd:4406694-6,1
gnd:4387386-8,3
gnd:4168291-9,3
gnd:4004455-5,1
gnd:4114607-4,3
gnd:4069177-9,21
gnd:4034834-9,1
gnd:4071781-1,21
gnd:4057587-1,2
gnd:1077020600,1
gnd:4157730-9,1
gnd:4169826-5,1
gnd:4014081-7,7
gnd:4781140-7,2
gnd:4007709-3,5
gnd:4148141-0,2
gnd:4140728-3,1
gnd:4186515-7,6
gnd:4194417-3,3
gnd:4182775-2,4
gnd:7532090-3,13
gnd:4124313-4,2
gnd:4215427-3,19
gnd:4247928-9,18
gnd:4064734-1,11
gnd:4289758-0,2
gnd:4145565-4,1
gnd:4170376-5,1
gnd:4134384-0,1
gnd:4225827-3,1
gnd:4268603-9,1
gnd:4423032-1,1
gnd:4232767-2,3
gnd:4168396-1,1
gnd:4121608-8,13
gnd:4169537-9,4
gnd:4263274-2,3
gnd:4401061-8,1
gnd:4151200-5,4
gnd:4116561-5,31
gnd:4150103-2,1
gnd:4185821-9,2
gnd:4235813-9,3
gnd:4164613-7,1
gnd:4338258-7,2
gnd:4114435-1,3
gnd:4222053-1,1
gnd:4131258-2,3
gnd:4133314-7,3
gnd:1148978801,1
gnd:1076338992,1
gnd:4017961-8,3
gnd:4514375-4,1
gnd:4048531-6,3
gnd:4022771-6,7
gnd:4151903-6,5
gnd:4418240-5,3
gnd:4022750-9,1
gnd:4186348-3,1
gnd:4354980-9,6
gnd:4153206-5,3
gnd:4253470-7,2
gnd:4051432-8,2
gnd:4021842-9,22
gnd:4257834-6,2
gnd:4185286-2,1
gnd:4175239-9,2
gnd:4435043-0,1
gnd:4147454-5,10
gnd:4263753-3,1
gnd:4132330-0,5
gnd:4077640-2,7
gnd:4063269-6,1
gnd:4036774-5,7
gnd:4047500-1,2
gnd:4059596-1,3
gnd:4468124-0,1
gnd:4034343-1,32
gnd:4343007-7,2
gnd:117071482X,9
gnd:4045388-1,18
gnd:4437501-3,5
gnd:4191814-9,3
gnd:4115352-2,11
gnd:4132776-7,1
gnd:4224214-9,45
gnd:4044747-9,3
gnd:4188916-2,1
gnd:1102221511,2
gnd:4230127-0,3
gnd:4508520-1,7
gnd:4074626-4,29
gnd:4199256-8,5
gnd:4622052-5,1
gnd:4154775-5,1
gnd:4258821-2,1
gnd:4194903-1,4
gnd:4417210-2,1
gnd:4164569-8,1
gnd:4279392-0,14
gnd:4221531-6,12
gnd:4589414-0,3
gnd:4248815-1,2
gnd:4181251-7,1
gnd:4014841-5,14
gnd:4557997-0,124
gnd:4380320-9,4
gnd:4182379-5,1
gnd:4164984-9,3
gnd:4154818-8,10
gnd:4154950-8,6
gnd:4203814-5,3
gnd:4268828-0,1
gnd:4590995-7,1
gnd:4121722-6,19
gnd:4062817-6,6
gnd:4126606-7,1
gnd:4130524-3,3
gnd:4178319-0,1
gnd:4273710-2,1
gnd:4656985-6,1
gnd:4162321-6,4
gnd:4476617-8,1
gnd:4151876-7,2
gnd:1037299396,1
gnd:4328602-1,4
gnd:4132861-9,1
gnd:4192623-7,3
gnd:4151764-7,3
gnd:4002342-4,2
gnd:4113681-0,8
gnd:4128999-7,3
gnd:4268517-5,8
gnd:4128511-6,3
gnd:4136815-0,2
gnd:4000973-7,12
gnd:4076308-0,197
gnd:4284758-8,2
gnd:102887264X,1
gnd:4132277-0,4
gnd:4776397-8,18
gnd:4508329-0,1
gnd:4313842-1,8
gnd:4240216-5,1
gnd:4236726-8,3
gnd:4153776-2,2
gnd:4073331-2,6
gnd:4392697-6,1
gnd:4160159-2,2
gnd:4122388-3,1
gnd:4145338-4,1
gnd:4157325-0,1
gnd:4188986-1,1
gnd:4489205-6,4
gnd:4645414-7,1
gnd:4188261-1,4
gnd:4298166-9,2
gnd:4230463-5,1
gnd:4057821-5,2
gnd:4027453-6,11
gnd:4496282-4,4
gnd:1072179776,66
gnd:4255487-1,1
gnd:4452701-9,1
gnd:4793070-6,1
gnd:4148709-6,1
gnd:4179145-9,4
gnd:4187461-4,1
gnd:4128583-9,1
gnd:4483815-3,3
gnd:4320702-9,2
gnd:4144831-5,2
gnd:4142732-4,1
gnd:4173589-4,2
gnd:4264329-6,2
gnd:7726957-3,4
gnd:4027240-0,5
gnd:4170725-4,1
gnd:4773658-6,1
gnd:7679167-1,2
gnd:4063270-2,8
gnd:4127582-2,18
gnd:4013874-4,5
gnd:4384337-2,1
gnd:4135601-9,3
gnd:4155684-7,1
gnd:4582634-1,1
gnd:4180268-8,2
gnd:4123073-5,1
gnd:4124924-0,5
gnd:4162078-1,18
gnd:4127888-4,15
gnd:4247482-6,26
gnd:4148989-5,6
gnd:4314440-8,14
gnd:4014857-9,3
gnd:4176343-9,2
gnd:4126827-1,1
gnd:4142226-0,1
gnd:4180779-0,1
gnd:4019919-8,1
gnd:4015249-2,17
gnd:4131446-3,6
gnd:4546181-8,2
gnd:4338676-3,4
gnd:4158085-0,4
gnd:4184109-8,10
gnd:4186504-2,3
gnd:4357987-5,2
gnd:4169749-2,8
gnd:4153456-6,4
gnd:4844614-2,2
gnd:4221269-8,3
gnd:4057931-1,23
gnd:4141194-8,7
gnd:4007279-4,1
gnd:4018935-1,54
gnd:4158392-9,2
gnd:4129143-8,43
gnd:4175146-2,1
gnd:4019702-5,22
gnd:4113450-3,185
gnd:4120507-8,4
gnd:4072157-7,57
gnd:4024379-5,3
gnd:4344464-7,6
gnd:4048440-3,2
gnd:4133522-3,2
gnd:4034036-3,9
gnd:4020945-3,2
gnd:4132461-4,6
gnd:4138692-9,1
gnd:4059107-4,2
gnd:4002764-8,1
gnd:7627927-3,11
gnd:4002857-4,11
gnd:4124970-7,24
gnd:4004911-5,26
gnd:4319480-1,1
gnd:4469502-0,2
gnd:4019868-6,2
gnd:4348695-2,1
gnd:1232346071,13
gnd:1262007852,2
gnd:1262853559,4
gnd:4235959-4,1
gnd:4147958-0,1
gnd:4131115-2,1
gnd:4151511-0,1
gnd:4174491-3,11
gnd:4056834-9,27
gnd:4155115-1,1
gnd:4112616-6,2
gnd:4059816-0,7
gnd:4130618-1,2
gnd:4005461-5,47
gnd:4133754-2,4
gnd:4315848-1,2
gnd:4155451-6,1
gnd:4411619-6,5
gnd:4071808-6,35
gnd:4364665-7,1
gnd:4123287-2,1
gnd:4278742-7,1
gnd:4045936-6,12
gnd:4311299-7,1
gnd:4582114-8,7
gnd:4038376-3,5
gnd:4385093-5,2
gnd:4172244-9,2
gnd:4177995-2,1
gnd:4125542-2,15
gnd:4767762-4,7
gnd:4210082-3,2
gnd:4271193-9,1
gnd:4025280-2,9
gnd:4125888-5,3
gnd:7525182-6,8
gnd:4047375-2,3
gnd:4268693-3,2
gnd:4147096-5,1
gnd:4501295-7,1
gnd:4048610-2,1
gnd:4184890-1,1
gnd:4199293-3,1
gnd:4332883-0,6
gnd:4228025-4,1
gnd:4346723-4,3
gnd:4384871-0,2
gnd:4144846-7,1
gnd:4839591-2,1
gnd:4390888-3,2
gnd:4630853-2,1
gnd:4839590-0,1
gnd:4167475-3,3
gnd:4128986-9,1
gnd:4292074-7,1
gnd:4608043-0,1
gnd:4335539-0,1
gnd:4046266-3,4
gnd:4160990-6,3
gnd:4371693-3,4
gnd:1066284679,1
gnd:4325761-6,2
gnd:4121776-7,1
gnd:4278925-4,7
gnd:4587911-4,1
gnd:4394443-7,1
gnd:4374724-3,1
gnd:1073212491,1
gnd:4165895-4,1
gnd:4078249-9,5
gnd:4038654-5,5
gnd:4190296-8,2
gnd:4074672-0,19
gnd:4174084-1,14
gnd:4001420-4,5
gnd:4054541-6,3
gnd:4059766-0,4
gnd:4460230-3,2
gnd:4264336-3,1
gnd:4120997-7,61
gnd:4167318-9,1
gnd:1031678301,1
gnd:4264343-0,1
gnd:4160713-2,3
gnd:7544621-2,1
gnd:4705970-9,2
gnd:4174409-3,1
gnd:4172549-9,1
gnd:4172265-6,3
gnd:4121396-8,5
gnd:1079417915,5
gnd:4117283-8,9
gnd:4121482-1,5
gnd:4177696-3,1
gnd:4384562-9,2
gnd:4499233-6,1
gnd:4238806-5,1
gnd:4186302-1,2
gnd:4020574-5,3
gnd:4207457-5,1
gnd:4401292-5,1
gnd:4114576-8,6
gnd:4347980-7,1
gnd:4650220-8,1
gnd:4158879-4,1
gnd:4147281-0,3
gnd:4120744-0,18
gnd:4152709-4,6
gnd:4132260-5,5
gnd:4139122-6,6
gnd:4740955-1,11
gnd:4178780-8,5
gnd:4124846-6,3
gnd:4151846-9,3
gnd:4377866-5,1
gnd:4171638-3,1
gnd:4131042-1,14
gnd:4154116-9,1
gnd:4147053-9,1
gnd:4149746-6,3
gnd:4137313-3,4
gnd:4139496-3,1
gnd:4162960-7,2
gnd:4190687-1,1
gnd:4128181-0,2
gnd:4131844-4,1
gnd:4013967-0,3
gnd:7643045-5,3
gnd:4016568-1,3
gnd:4009081-4,2
gnd:4135889-2,13
gnd:4045798-9,18
gnd:4134819-9,8
gnd:4162305-8,1
gnd:1043730419,1
gnd:4349293-9,3
gnd:4033748-0,7
gnd:4049722-7,6
gnd:4472703-3,2
gnd:4576155-3,2
gnd:4031677-4,10
gnd:4701615-2,1
gnd:4122930-7,18
gnd:4163496-2,2
gnd:4590644-0,1
gnd:7576897-5,1
gnd:4130850-5,12
gnd:4026927-9,33
gnd:4239869-1,1
gnd:4334366-1,1
gnd:4043565-9,2
gnd:4447283-3,1
gnd:4199322-6,3
gnd:4191765-0,2
gnd:4116634-6,16
gnd:4054117-4,4
gnd:4165906-5,2
gnd:4228869-1,2
gnd:4067574-9,13
gnd:4443989-1,1
gnd:4131889-4,2
gnd:4016606-5,19
gnd:4048835-4,10
gnd:4059787-8,78
gnd:4129240-6,4
gnd:4144322-6,3
gnd:4175585-6,1
gnd:4121333-6,2
gnd:4026535-3,2
gnd:4172175-5,1
gnd:4167869-2,1
gnd:4145448-0,8
gnd:1064023886,5
gnd:4841919-9,1
gnd:4014255-3,1
gnd:1027486754,1
gnd:4014357-0,1
gnd:4146524-6,2
gnd:4005560-7,2
gnd:4015942-5,1
gnd:4372594-6,1
gnd:4154017-7,1
gnd:4121428-6,34
gnd:4199872-8,3
gnd:4208631-0,2
gnd:4132622-2,3
gnd:4130409-3,6
gnd:4066257-3,3
gnd:7673977-6,1
gnd:4251715-1,1
gnd:4260103-4,2
gnd:7684670-2,3
gnd:4143201-0,2
gnd:4621624-8,1
gnd:1242286888,3
gnd:4298848-2,1
gnd:4147495-8,2
gnd:4159968-8,1
gnd:4340715-8,1
gnd:4185138-9,1
gnd:4043680-9,9
gnd:4280084-5,2
gnd:4155263-5,3
gnd:1120935474,1
gnd:4153834-1,7
gnd:1147871477,5
gnd:4014709-5,8
gnd:4026656-4,4
gnd:4051990-9,8
gnd:4238919-7,1
gnd:4156681-6,1
gnd:4235034-7,14
gnd:4062009-8,2
gnd:7616461-5,9
gnd:4076231-2,7
gnd:4117713-7,2
gnd:4835581-1,6
gnd:4070496-8,8
gnd:7612596-8,11
gnd:4315399-9,3
gnd:4186362-8,2
gnd:4210689-8,4
gnd:4384153-3,1
gnd:4322616-4,1
gnd:4175141-3,9
gnd:4113303-1,10
gnd:4023498-8,1
gnd:4157937-9,2
gnd:4306407-3,1
gnd:4179505-2,1
gnd:4168954-9,1
gnd:4172677-7,1
gnd:4209367-3,9
gnd:4224517-5,2
gnd:4364003-5,1
gnd:4195660-6,9
gnd:4025202-4,16
gnd:4351615-4,1
gnd:1233691872,3
gnd:4041414-0,3
gnd:4428082-8,5
gnd:1088793878,8
gnd:4157433-3,2
gnd:4522605-2,2
gnd:4684051-5,34
gnd:4538512-9,1
gnd:4432539-3,2
gnd:4034889-1,22
gnd:4045696-1,14
gnd:7546607-7,1
gnd:4168296-8,1
gnd:4287509-2,1
gnd:4731122-8,1
gnd:4176807-3,2
gnd:4447993-1,1
gnd:4078168-9,1
gnd:4199279-9,5
gnd:4619283-9,3
gnd:4178145-4,3
gnd:4313194-3,2
gnd:4451364-1,2
gnd:4064192-2,3
gnd:4121893-0,1
gnd:4194332-6,10
gnd:4187835-8,7
gnd:1123737371,2
gnd:4076605-6,80
gnd:4264711-3,1
gnd:4140298-4,1
gnd:4260601-9,2
gnd:4178846-1,2
gnd:4015227-3,1
gnd:4123135-1,2
gnd:4172386-7,8
gnd:4151037-9,1
gnd:4506630-9,1
gnd:4529150-0,2
gnd:4165149-2,4
gnd:4154169-8,1
gnd:4000105-2,1
gnd:4115649-3,14
gnd:4027208-4,15
gnd:4075026-7,2
gnd:4169254-8,3
gnd:4180956-7,1
gnd:4401814-9,2
gnd:4157153-8,4
gnd:4043869-7,5
gnd:4172633-9,3
gnd:4020740-7,24
gnd:4155780-3,1
gnd:4059665-5,3
gnd:4172635-2,2
gnd:4010152-6,1
gnd:4283659-1,2
gnd:4190668-8,2
gnd:4142584-4,1
gnd:4193696-6,1
gnd:4002290-0,6
gnd:4177909-5,1
gnd:1172777462,2
gnd:4199865-0,1
gnd:4030669-0,10
gnd:4014692-3,24
gnd:4417888-8,1
gnd:4172691-1,1
gnd:4205012-1,3
gnd:4060491-3,3
gnd:4076226-9,9
gnd:4580374-2,4
gnd:4350973-3,1
gnd:4137152-5,2
gnd:107633380X,2
gnd:4135102-2,8
gnd:4700698-5,1
gnd:4191975-0,1
gnd:4130268-0,1
gnd:4588309-9,3
gnd:4060425-1,48
gnd:4678998-4,1
gnd:4191562-8,2
gnd:1066477558,1
gnd:4178136-3,1
gnd:4030664-1,10
gnd:4371174-1,11
gnd:4066514-8,9
gnd:4065685-8,12
gnd:4010457-6,73
gnd:4048794-5,1
gnd:4056449-6,27
gnd:4194061-1,2
gnd:4137586-5,7
gnd:4407211-9,1
gnd:4162526-2,1
gnd:4595097-0,1
gnd:4152306-4,1
gnd:4140648-5,4
gnd:4009843-6,11
gnd:4031177-6,18
gnd:4147457-0,1
gnd:4117227-9,1
gnd:4348156-5,1
gnd:4155879-0,1
gnd:4152082-8,2
gnd:4174454-8,4
gnd:4033209-3,12
gnd:4416235-2,11
gnd:4195439-7,3
gnd:4014159-7,15
gnd:4519047-1,2
gnd:4359290-9,1
gnd:4402932-9,1
gnd:4148026-0,1
gnd:4168405-9,1
gnd:4170475-7,1
gnd:4278176-0,1
gnd:4059573-0,1
gnd:4046974-8,6
gnd:4362503-4,1
gnd:4581972-5,1
gnd:4249940-9,1
gnd:4154204-6,3
gnd:4325461-5,1
gnd:1033815330,5
gnd:4801271-3,2
gnd:4017754-3,11
gnd:4049271-0,1
gnd:4269385-8,3
gnd:4125165-9,5
gnd:4233419-6,2
gnd:4161565-7,1
gnd:4162573-0,1
gnd:4181859-3,3
gnd:4019637-9,1
gnd:4167776-6,4
gnd:4020766-3,6
gnd:4324567-5,16
gnd:4130719-7,1
gnd:4406753-7,4
gnd:7564795-3,1
gnd:4166502-8,1
gnd:4180494-6,2
gnd:4249018-2,1
gnd:4205942-2,3
gnd:7594875-8,2
gnd:4113527-1,7
gnd:4016507-3,13
gnd:4134930-1,8
gnd:4043886-7,6
gnd:4000626-8,56
gnd:4186045-7,1
gnd:4223142-5,2
gnd:4282793-0,1
gnd:4298728-3,1
gnd:7576892-6,1
gnd:4133471-1,2
gnd:4054010-8,1
gnd:4076475-8,2
gnd:4195863-9,2
gnd:4151894-9,6
gnd:4145130-2,1
gnd:4042803-5,8
gnd:4328194-1,3
gnd:4184840-8,1
gnd:4273044-2,1
gnd:4606532-5,1
gnd:4418410-4,2
gnd:4713583-9,5
gnd:4149817-3,4
gnd:4322206-7,1
gnd:4155219-2,1
gnd:4338034-7,1
gnd:4326039-1,1
gnd:4129410-5,11
gnd:4058136-6,46
gnd:4075693-2,25
gnd:4028779-8,35
gnd:4192420-4,1
gnd:1041888279,6
gnd:4013793-4,5
gnd:4140128-1,1
gnd:4004923-1,12
gnd:4063321-4,2
gnd:4063351-2,3
gnd:4299722-7,3
gnd:4434741-8,1
gnd:4169125-8,2
gnd:4046876-8,1
gnd:4524572-1,1
gnd:4330654-8,1
gnd:4171693-0,3
gnd:4263657-7,10
gnd:4020643-9,7
gnd:4431027-4,70
gnd:4124236-1,19
gnd:4227329-8,7
gnd:4184587-0,13
gnd:4059360-5,37
gnd:7539965-9,6
gnd:4481443-4,5
gnd:4170249-9,1
gnd:4228469-7,2
gnd:4730556-3,2
gnd:4357300-9,10
gnd:4238165-4,1
gnd:4141086-5,1
gnd:4204643-9,1
gnd:4007379-8,18
gnd:4190336-5,1
gnd:4326354-9,1
gnd:4627826-6,1
gnd:4129373-3,9
gnd:4427818-4,3
gnd:4186551-0,3
gnd:4176636-2,1
gnd:4140771-4,4
gnd:7523616-3,1
gnd:4162308-3,1
gnd:4168522-2,1
gnd:4353233-0,1
gnd:4154843-7,1
gnd:4256837-7,1
gnd:4381543-1,1
gnd:4285051-4,1
gnd:4183507-4,1
gnd:4155774-8,1
gnd:4011061-8,2
gnd:4190389-4,1
gnd:4167124-7,1
gnd:4171098-8,1
gnd:4185562-0,4
gnd:4298594-8,3
gnd:4300253-5,1
gnd:4328961-7,1
gnd:4555810-3,1
gnd:4323583-9,7
gnd:4456229-9,1
gnd:4162402-6,1
gnd:4273432-0,1
gnd:4685614-6,1
gnd:4703729-5,3
gnd:4129514-6,6
gnd:4754777-7,1
gnd:4168195-2,6
gnd:4055345-0,11
gnd:4169679-7,1
gnd:4144490-5,1
gnd:4169616-5,6
gnd:4145124-7,1
gnd:4124439-4,31
gnd:4152479-2,2
gnd:4463279-4,2
gnd:4344548-2,2
gnd:4206569-0,2
gnd:4217650-5,1
gnd:7628985-0,12
gnd:4529413-6,2
gnd:7628163-2,1
gnd:4132668-4,5
gnd:4353455-7,2
gnd:4203459-0,1
gnd:4135969-0,15
gnd:4533764-0,1
gnd:4156217-3,3
gnd:4130355-6,20
gnd:4160120-8,3
gnd:4034087-9,2
gnd:4113575-1,3
gnd:4130237-0,4
gnd:4121759-7,2
gnd:4203628-8,1
gnd:4203630-6,1
gnd:4062868-1,2
gnd:4537412-0,1
gnd:4061688-5,4
gnd:4811590-3,1
gnd:4150258-9,2
gnd:4140907-3,7
gnd:4151476-2,1
gnd:4286652-2,1
gnd:4284135-5,8
gnd:4187523-0,1
gnd:4200802-5,6
gnd:4427434-8,1
gnd:4123529-0,1
gnd:4426735-6,1
gnd:4182752-1,10
gnd:4121889-9,1
gnd:4130209-6,5
gnd:4296515-9,1
gnd:4210527-4,10
gnd:4035165-8,28
gnd:1165159171,1
gnd:4202325-7,14
gnd:4169645-1,1
gnd:1119457645,1
gnd:4312920-1,4
gnd:121613023X,1
gnd:4739291-5,1
gnd:4053848-5,11
gnd:4185979-0,1
gnd:4042908-8,21
gnd:4136920-8,19
gnd:4027633-8,9
gnd:4057817-3,6
gnd:4351782-1,1
gnd:4156106-5,1
gnd:4016918-2,28
gnd:4253455-0,1
gnd:4180380-2,3
gnd:4175313-6,1
gnd:1120434270,1
gnd:4611588-2,1
gnd:4163032-4,2
gnd:4163031-2,2
gnd:4167992-1,8
gnd:4160591-3,1
gnd:4731528-3,1
gnd:4133165-5,2
gnd:4389357-0,51
gnd:4115744-8,4
gnd:4114334-6,11
gnd:4050061-5,10
gnd:4150344-2,1
gnd:4427894-9,1
gnd:4151214-5,2
gnd:4258790-6,4
gnd:4131014-7,9
gnd:4065837-5,6
gnd:4160187-7,1
gnd:4034081-8,7
gnd:4281434-0,1
gnd:4178059-0,1
gnd:4040802-4,26
gnd:4191522-7,6
gnd:4584230-9,2
gnd:4409497-8,1
gnd:4126014-4,4
gnd:4002805-7,62
gnd:4002613-9,3
gnd:4497318-4,1
gnd:4231499-9,1
gnd:4003800-2,5
gnd:4138292-4,1
gnd:4027110-9,5
gnd:4385650-0,1
gnd:4381050-0,1
gnd:4123793-6,1
gnd:4160481-7,1
gnd:7651115-7,5
gnd:7725520-3,1
gnd:4073648-9,41
gnd:7563495-8,4
gnd:1079427864,8
gnd:4016321-0,11
gnd:4062110-8,49
gnd:4122782-7,10
gnd:4172385-5,98
gnd:7507335-3,1
gnd:7697760-2,15
gnd:4132791-3,3
gnd:4636290-3,4
gnd:4030958-7,20
gnd:4215968-4,2
gnd:4189837-0,4
gnd:1041849648,2
gnd:4161368-5,1
gnd:4226349-9,2
gnd:4679877-8,10
gnd:4060087-7,15
gnd:4131477-3,4
gnd:4423954-3,1
gnd:4006665-4,3
gnd:4121555-2,10
gnd:4045245-1,16
gnd:4035624-3,15
gnd:4418747-6,1
gnd:4528448-9,4
gnd:4066424-7,28
gnd:4496068-2,35
gnd:4170280-3,67
gnd:4144286-6,1
gnd:4128153-6,2
gnd:4224605-2,4
gnd:4226133-8,1
gnd:4135873-9,2
gnd:4174832-3,2
gnd:1151162590,1
gnd:4205527-1,5
gnd:4498848-5,1
gnd:4141075-0,1
gnd:4029926-0,1
gnd:4057799-5,4
gnd:4336721-5,3
gnd:4187491-2,6
gnd:4369492-5,11
gnd:4123713-4,9
gnd:4191815-0,20
gnd:4126083-1,4
gnd:4000996-8,16
gnd:4062644-1,63
gnd:7511891-9,8
gnd:4520890-6,6
gnd:4132393-2,1
gnd:4136339-5,20
gnd:4191584-7,12
gnd:4603135-2,2
gnd:4147542-2,2
gnd:4144254-4,3
gnd:4545705-0,1
gnd:4121902-8,1
gnd:4356672-8,1
gnd:4188871-6,2
gnd:4134243-4,1
gnd:4016278-3,22
gnd:4127859-8,4
gnd:4062962-4,20
gnd:4132647-7,10
gnd:4016310-6,2
gnd:4000457-0,19
gnd:4167366-9,3
gnd:4136080-1,2
gnd:4074676-8,19
gnd:4128683-2,11
gnd:4180942-7,5
gnd:4059277-7,17
gnd:4206592-6,3
gnd:4071698-3,3
gnd:4062163-7,20
gnd:4027743-4,57
gnd:4141621-1,2
gnd:4137178-1,21
gnd:4563128-1,3
gnd:4157236-1,2
gnd:1138303283,11
gnd:7548425-0,3
gnd:4157635-4,2
gnd:4146053-4,2
gnd:4694482-5,2
gnd:4474627-1,1
gnd:4044903-8,9
gnd:4123637-3,1
gnd:4048778-7,1
gnd:4074178-3,1
gnd:4161428-8,1
gnd:4025742-3,1
gnd:4528280-8,1
gnd:4025741-1,8
gnd:4398917-2,1
gnd:4402807-6,1
gnd:4349365-8,6
gnd:4730200-8,1
gnd:4125073-4,1
gnd:4126950-0,2
gnd:4002760-0,2
gnd:4273413-7,3
gnd:4026808-1,12
gnd:4191538-0,6
gnd:4591604-4,1
gnd:4276213-3,12
gnd:4182962-1,12
gnd:4188637-9,1
gnd:4128228-0,1
gnd:4614855-3,14
gnd:4675352-7,5
gnd:4338045-1,2
gnd:4017894-8,79
gnd:4222126-2,20
gnd:4161626-1,4
gnd:4058323-5,4
gnd:4128337-5,52
gnd:4048499-3,2
gnd:4482930-9,20
gnd:4322103-8,5
gnd:4029932-6,7
gnd:4139077-5,4
gnd:4542468-8,1
gnd:4176841-3,3
gnd:4295307-8,1
gnd:4154947-8,5
gnd:4061557-1,1
gnd:4165398-1,1
gnd:4073328-2,10
gnd:4164814-6,9
gnd:4035235-3,37
gnd:4647749-4,2
gnd:4177754-2,2
gnd:4784715-3,1
gnd:4014651-0,22
gnd:4228852-6,4
gnd:4395354-2,11
gnd:4703441-5,1
gnd:4180946-4,1
gnd:4236149-7,2
gnd:4121560-6,13
gnd:4318446-7,1
gnd:4116526-3,17
gnd:4368779-9,2
gnd:4195640-0,2
gnd:4010384-5,2
gnd:4260277-4,1
gnd:1072876035,2
gnd:4056203-7,7
gnd:4007812-7,3
gnd:4184690-4,2
gnd:4571611-0,3
gnd:4033596-3,15
gnd:4151918-8,8
gnd:4035151-8,3
gnd:4113844-2,6
gnd:7555119-6,37
gnd:4079320-5,9
gnd:4160221-3,6
gnd:4160195-6,17
gnd:4038804-9,8
gnd:4148911-1,4
gnd:4014238-3,35
gnd:4150623-6,2
gnd:4076855-7,4
gnd:4398655-9,2
gnd:4158469-7,10
gnd:4328736-0,1
gnd:4315666-6,14
gnd:4038416-0,3
gnd:4187748-2,1
gnd:4056221-9,1
gnd:4183935-3,4
gnd:4210150-5,2
gnd:4219668-1,1
gnd:4056763-1,9
gnd:1038714850,16
gnd:1124028595,45
gnd:4875411-0,9
gnd:4470664-9,1
gnd:4166244-1,1
gnd:4130716-1,1
gnd:4649295-1,1
gnd:4167301-3,4
gnd:4260561-1,1
gnd:4124791-7,1
gnd:4153530-3,1
gnd:4019014-6,5
gnd:4015656-4,2
gnd:4137810-6,4
gnd:4120755-5,13
gnd:4192877-5,3
gnd:4039827-4,40
gnd:4026331-9,3
gnd:4136584-7,9
gnd:4174492-5,2
gnd:4135958-6,2
gnd:4258863-7,3
gnd:4558146-0,4
gnd:4076001-7,29
gnd:4132859-0,1
gnd:4189940-4,5
gnd:4676079-9,1
gnd:7725954-3,4
gnd:4153109-7,1
gnd:4188392-5,4
gnd:4150244-9,1
gnd:4193167-1,2
gnd:4063625-2,3
gnd:4577864-4,2
gnd:4189299-9,42
gnd:4144456-5,1
gnd:4274466-0,2
gnd:4233958-3,1
gnd:4150490-2,2
gnd:4290995-8,1
gnd:4279994-6,1
gnd:4492286-3,2
gnd:4199859-5,4
gnd:4017982-5,2
gnd:4047000-3,2
gnd:1028652631,1
gnd:4030910-1,3
gnd:4378283-8,1
gnd:4128068-4,1
gnd:7737985-8,70
gnd:4807612-0,1
gnd:4043176-9,21
gnd:4202171-6,6
gnd:1034056433,3
gnd:7660041-5,2
gnd:4147619-0,6
gnd:4015999-1,131
gnd:4014228-0,7
gnd:4140591-2,1
gnd:4121178-9,25
gnd:4051238-1,7
gnd:4016698-3,21
gnd:4049396-9,55
gnd:4049420-2,6
gnd:4004942-5,7
gnd:4003936-5,7
gnd:4037630-8,14
gnd:4396976-8,1
gnd:4788337-6,3
gnd:4845922-7,27
gnd:4066615-3,10
gnd:4066611-6,9
gnd:1140936166,56
gnd:4122926-5,23
gnd:4157675-5,2
gnd:4159821-0,1
gnd:4131169-3,16
gnd:4056780-1,2
gnd:4059245-5,33
gnd:4631075-7,14
gnd:4152405-6,2
gnd:4254827-5,3
gnd:1038393523,2
gnd:4246788-3,1
gnd:4133444-9,2
gnd:4053460-1,5
gnd:4149218-3,4
gnd:4235025-6,4
gnd:4699648-5,1
gnd:4274582-2,1
gnd:4185917-0,20
gnd:4164202-8,5
gnd:4020219-7,19
gnd:4156264-1,3
gnd:4132325-7,3
gnd:4208396-5,1
gnd:4346214-5,2
gnd:4461766-5,1
gnd:4301007-6,1
gnd:4414891-4,5
gnd:4076759-0,7
gnd:4356469-0,1
gnd:4553045-2,4
gnd:4240927-5,1
gnd:4147175-1,2
gnd:4306412-7,1
gnd:4155220-9,1
gnd:4038403-2,9
gnd:4056795-3,199
gnd:7751254-6,5
gnd:4792793-8,1
gnd:4072986-2,2
gnd:4189214-8,8
gnd:4248464-9,1
gnd:4197651-4,1
gnd:4074659-8,36
gnd:4028859-6,100
gnd:4019622-7,25
gnd:4046526-3,17
gnd:4112643-9,3
gnd:4075228-8,9
gnd:4127705-3,3
gnd:4443806-0,15
gnd:4120612-5,3
gnd:4204820-5,4
gnd:4153580-7,8
gnd:7524499-8,11
gnd:4125677-3,11
gnd:4431076-6,14
gnd:4186638-1,1
gnd:4267934-5,5
gnd:4832784-0,1
gnd:4264340-5,1
gnd:4116614-0,13
gnd:4332185-9,2
gnd:4154943-0,42
gnd:4070815-9,3
gnd:4020011-5,2
gnd:4020046-2,3
gnd:4122929-0,1
gnd:4077740-6,4
gnd:4182511-1,3
gnd:4134367-0,5
gnd:4183697-2,10
gnd:4033597-5,10
gnd:4169194-5,25
gnd:4551489-6,1
gnd:4178603-8,1
gnd:4586094-4,1
gnd:4726968-6,3
